ABU^DHABI^INTL^^;OMAA;&;41217;24;25N;054;38E;27;X;T;6;AE
BUHASA^^^^^^^^^^;OMAB;&;&;23;37N;053;22E;94;X;7;AE
ABU^DHABI/BATEEN;OMAD;&;41216;24;25N;054;28E;3;X;T;7;AE
AL^HAMRA^AUX^^^^;OMAH;&;&;24;05N;052;28E;16;X;8;AE
AL^AIN^INTNL^ARP;OMAL;&;41218;24;15N;055;36E;262;X;T;6;AE
DUBAI^INTL^AIRPO;OMDB;&;41194;25;15N;055;22E;5;X;T;6;AE
DELMA^ISLAND^^^^;OMDL;&;&;24;30N;052;20E;25;X;6;AE
AL^MINHAD^AIRB^^;OMDM;&;&;25;02N;055;22E;51;X;8;AE
DUBAI^AL^MAKTOUM;OMDW;&;&;24;54N;055;10E;25;X;T;8;AE
FUJAIRAH^INTL^AR;OMFJ;&;41198;25;06N;056;19E;28;X;T;6;AE
RAS^AL^KHAIMAH^^;OMRK;&;41184;25;37N;055;55E;31;X;T;6;AE
SHARJAH^INTL^ARP;OMSJ;&;41196;25;19N;055;31E;33;X;T;6;AE
